state,student_count,grad_100
California,2334544,82351.24
Texas,1340079,114123.02
Florida,970077,87201.86
New York,1020733,112188.69
Michigan,553984,66865.16
Illinois,666751,86165.49
Arizona,542639,71774.67
Pennsylvania,617291,111012.33
Ohio,600442,112249.94
Georgia,401425,85053.19
Virginia,480442,102146.64
North Carolina,499717,109041.55
Indiana,386686,86987.93
Massachusetts,374053,84401.44
Maryland,292333,69157.18
New Jersey,347213,82406.54
Missouri,349440,84548.8
Iowa,293555,76359.31
Minnesota,324830,85793.02
Colorado,287707,81639.01
Alabama,255701,78602.1
Washington,324985,100456.54
Kentucky,237113,77308.44
Mississippi,150879,54634.42
Louisiana,214105,77780.01
Wisconsin,321401,120433.66
Tennessee,287623,112659.86
Oregon,215546,87679.26
Kansas,186609,77420.59
Alaska,130320,54507.06
South Carolina,227887,104067.8
Utah,232131,110124.76
Arkansas,152030,72915.79
Oklahoma,192634,97016.66
Connecticut,159821,82783.29
New Mexico,138118,89510.7
Idaho,100503,71490.94
Rhode Island,73138,52700.85
Nebraska,111544,87394.78
Nevada,104270,91407.32
West Virginia,88550,86911.58
Hawaii,367257,69241.24
District of Columbia,246704,52613.06
Maine,161979,71456.9
Wyoming,134348,40621.22
Montana,147903,57084.1
Delaware,148195,57502.9
New Hampshire,172626,97555.02
North Dakota,147456,86149.92
South Dakota,147948,98609.54
Vermont,137097,94325.24
