"state","student_count"
"Alabama",255701
"Alaska",30320
"Arizona",542639
"Arkansas",152030
"California",2334544
"Colorado",287707
"Connecticut",159821
"Delaware",48195
"District of Columbia",46704
"Florida",970077
"Georgia",401425
"Hawaii",67257
"Idaho",100503
"Illinois",666751
"Indiana",386686
"Iowa",293555
"Kansas",186609
"Kentucky",237113
"Louisiana",214105
"Maine",61979
"Maryland",292333
"Massachusetts",374053
"Michigan",553984
"Minnesota",324830
"Mississippi",150879
"Missouri",349440
"Montana",47903
"Nebraska",111544
"Nevada",104270
"New Hampshire",72626
"New Jersey",347213
"New Mexico",138118
"New York",1020733
"North Carolina",499717
"North Dakota",47456
"Ohio",600442
"Oklahoma",192634
"Oregon",215546
"Pennsylvania",617291
"Rhode Island",73138
"South Carolina",227887
"South Dakota",47948
"Tennessee",287623
"Texas",1340079
"Utah",232131
"Vermont",37097
"Virginia",480442
"Washington",324985
"West Virginia",88550
"Wisconsin",321401
"Wyoming",34348
