"state","state_abbrevation"
"Oklahoma","OK"
"Georgia","GA"
"Mississippi","MS"
"Kentucky","KY"
"Illinois","IL"
"Delaware","DE"
"Kansas","KS"
"Indiana","IN"
"District of Columbia","DC"
"United States","US"
"West Virginia","WV"
"Wyoming","WY"
"Texas","TX"
"Colorado","CO"
"New Jersey","NJ"
"Maryland","MD"
"Louisiana","LA"
"Minnesota","MN"
"North Carolina","NC"
"North Dakota","ND"
"South Dakota","SD"
"Missouri","MO"
"Montana","MT"
"Rhode Island","RI"
"Oregon","OR"
"Virginia","VA"
"Arkansas","AR"
"New York","NY"
"Vermont","VT"
"Pennsylvania","PA"
"Alabama","AL"
"Nebraska","NE"
"Alaska","AK"
"Idaho","ID"
"Florida","FL"
"South Carolina","SC"
"Ohio","OH"
"Iowa","IA"
"Arizona","AZ"
"Michigan","MI"
"Washington","WA"
"Massachusetts","MA"
"Wisconsin","WI"
"Hawaii","HI"
"New Mexico","NM"
"California","CA"
"Utah","UT"
"Connecticut","CT"
"Nevada","NV"
"New Hampshire","NH"
"Tennessee","TN"
"Maine","ME"
